Title,Rating,Price
A Light in the Attic,star-rating Three,£51.77
Tipping the Velvet,star-rating One,£53.74
Soumission,star-rating One,£50.10
Sharp Objects,star-rating Four,£47.82
Sapiens: A Brief History of Humankind,star-rating Five,£54.23
The Requiem Red,star-rating One,£22.65
The Dirty Little Secrets of Getting Your Dream Job,star-rating Four,£33.34
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",star-rating Three,£17.93
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,star-rating Four,£22.60
The Black Maria,star-rating One,£52.15
"Starving Hearts (Triangular Trade Trilogy, #1)",star-rating Two,£13.99
Shakespeare's Sonnets,star-rating Four,£20.66
Set Me Free,star-rating Five,£17.46
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),star-rating Five,£52.29
Rip it Up and Start Again,star-rating Five,£35.02
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",star-rating Three,£57.25
Olio,star-rating One,£23.88
Mesaerion: The Best Science Fiction Stories 1800-1849,star-rating One,£37.59
Libertarianism for Beginners,star-rating Two,£51.33
It's Only the Himalayas,star-rating Two,£45.17
In Her Wake,star-rating One,£12.84
How Music Works,star-rating Two,£37.32
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",star-rating Three,£30.52
Chase Me (Paris Nights #2),star-rating Five,£25.27
Black Dust,star-rating Five,£34.53
Birdsong: A Story in Pictures,star-rating Three,£54.64
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,star-rating Three,£22.50
Aladdin and His Wonderful Lamp,star-rating Three,£53.13
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,star-rating Five,£40.30
Wall and Piece,star-rating Four,£44.18
The Four Agreements: A Practical Guide to Personal Freedom,star-rating Five,£17.66
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,star-rating Three,£31.05
The Elephant Tree,star-rating Five,£23.82
The Bear and the Piano,star-rating One,£36.89
Sophie's World,star-rating Five,£15.94
Penny Maybe,star-rating Three,£33.29
Maude (1883-1993):She Grew Up with the country,star-rating Two,£18.02
"In a Dark, Dark Wood",star-rating One,£19.63
Behind Closed Doors,star-rating Four,£52.22
You can't bury them all: Poems,star-rating Two,£33.63
Slow States of Collapse: Poems,star-rating Three,£57.31
Reasons to Stay Alive,star-rating Two,£26.41
Private Paris (Private #10),star-rating Five,£47.61
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,star-rating Five,£23.11
Without Borders (Wanderlove #1),star-rating Two,£45.07
When We Collided,star-rating One,£31.77
"We Love You, Charlie Freeman",star-rating Five,£50.27
Untitled Collection: Sabbath Poems 2014,star-rating Four,£14.27
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",star-rating Four,£44.18
Unicorn Tracks,star-rating Three,£18.78
